Designator,Order,Quantity,Notes,DrawnBy,CheckedBy,NormInspection,ApprovedBy,InvNumber,DecimalNumber,Title

"C1","Конденсатор К10-79 МП0 8200 пФ ±5%  АЖЯР.673511.004 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"C2","Конденсатор К10-79 Н30 6800 пФ ±20%  АЖЯР.673511.004 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"C3","Конденсатор К10-79 Н90 0,047 мкФ +80/-20%  АЖЯР.673511.004 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"C4","Конденсатор К10-79 Н30 6800 пФ ±20%  АЖЯР.673511.004 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"C5","Конденсатор К10-79 Н90 0,1 мкФ +80/-20%  АЖЯР.673511.004 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"C6","Конденсатор К10-79 Н90 0,1 мкФ +80/-20%  АЖЯР.673511.004 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"C7","Конденсатор C1812X475K5RACTU 4,7 мкФ ±10% 50В","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"C8","Конденсатор C1812X475K5RACTU 4,7 мкФ ±10% 50В","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"C9","Конденсатор C1808C331KHRACTU 330 пФ ±10% 3 кВ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"C10","Конденсатор GRM21BZ71E106KE15L 10 мкФ ±10% 25В","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"C?","Конденсатор К10-69в Н90 1,5 мкФ ±20%  АЖЯР.673511.002ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"DA1","Микросхема TLV9062QDRQ1 Texas Instruments","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"DA2","Микросхема TLV9062QDRQ1 Texas Instruments","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"DA3","Микросхема TDR 3-2411SM TRACO POWER","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"DA4","Микросхема TLV9062QDRQ1 Texas Instruments","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"FU1","Вставка плавкая 0438.250WRA 0,25 А 63 В Littlefuse","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
